id,value,cat
0,0.0,a
1,0.5,b
2,1.0,a
3,1.5,b
4,2.0,a
5,2.5,b
6,3.0,a
7,3.5,b
8,4.0,a
9,4.5,b
10,5.0,a
11,5.5,b
12,6.0,a
13,6.5,b
14,7.0,a
15,7.5,b
16,8.0,a
17,8.5,b
18,9.0,a
19,9.5,b
20,10.0,a
21,10.5,b
22,11.0,a
23,11.5,b
24,12.0,a
25,12.5,b
26,13.0,a
27,13.5,b
28,14.0,a
29,14.5,b
30,15.0,a
31,15.5,b
32,16.0,a
33,16.5,b
34,17.0,a
35,17.5,b
36,18.0,a
37,18.5,b
38,19.0,a
39,19.5,b
40,20.0,a
41,20.5,b
42,21.0,a
43,21.5,b
44,22.0,a
45,22.5,b
46,23.0,a
47,23.5,b
48,24.0,a
49,24.5,b
50,25.0,a
51,25.5,b
52,26.0,a
53,26.5,b
54,27.0,a
55,27.5,b
56,28.0,a
57,28.5,b
58,29.0,a
59,29.5,b
60,30.0,a
61,30.5,b
62,31.0,a
63,31.5,b
64,32.0,a
65,32.5,b
66,33.0,a
67,33.5,b
68,34.0,a
69,34.5,b
70,35.0,a
71,35.5,b
72,36.0,a
73,36.5,b
74,37.0,a
75,37.5,b
76,38.0,a
77,38.5,b
78,39.0,a
79,39.5,b
80,40.0,a
81,40.5,b
82,41.0,a
83,41.5,b
84,42.0,a
85,42.5,b
86,43.0,a
87,43.5,b
88,44.0,a
89,44.5,b
90,45.0,a
91,45.5,b
92,46.0,a
93,46.5,b
94,47.0,a
95,47.5,b
96,48.0,a
97,48.5,b
98,49.0,a
99,49.5,b
100,50.0,a
101,50.5,b
102,51.0,a
103,51.5,b
104,52.0,a
105,52.5,b
106,53.0,a
107,53.5,b
108,54.0,a
109,54.5,b
110,55.0,a
111,55.5,b
112,56.0,a
113,56.5,b
114,57.0,a
115,57.5,b
116,58.0,a
117,58.5,b
118,59.0,a
119,59.5,b
120,60.0,a
121,60.5,b
122,61.0,a
123,61.5,b
124,62.0,a
125,62.5,b
126,63.0,a
127,63.5,b
128,64.0,a
129,64.5,b
130,65.0,a
131,65.5,b
132,66.0,a
133,66.5,b
134,67.0,a
135,67.5,b
136,68.0,a
137,68.5,b
138,69.0,a
139,69.5,b
140,70.0,a
141,70.5,b
142,71.0,a
143,71.5,b
144,72.0,a
145,72.5,b
146,73.0,a
147,73.5,b
148,74.0,a
149,74.5,b
150,75.0,a
151,75.5,b
152,76.0,a
153,76.5,b
154,77.0,a
155,77.5,b
156,78.0,a
157,78.5,b
158,79.0,a
159,79.5,b
160,80.0,a
161,80.5,b
162,81.0,a
163,81.5,b
164,82.0,a
165,82.5,b
166,83.0,a
167,83.5,b
168,84.0,a
169,84.5,b
170,85.0,a
171,85.5,b
172,86.0,a
173,86.5,b
174,87.0,a
175,87.5,b
176,88.0,a
177,88.5,b
178,89.0,a
179,89.5,b
180,90.0,a
181,90.5,b
182,91.0,a
183,91.5,b
184,92.0,a
185,92.5,b
186,93.0,a
187,93.5,b
188,94.0,a
189,94.5,b
190,95.0,a
191,95.5,b
192,96.0,a
193,96.5,b
