date,region,category,price,units,revenue
2024-01-01,East,A,76.74,16,1159.87
2024-02-02,East,C,76.66,35,2461.44
2024-03-03,South,A,12.68,14,168.03
2024-04-04,East,C,27.9,42,1218.98
2024-05-05,South,A,50.43,18,963.92
2024-06-06,East,A,72.83,22,1531.08
2024-07-07,West,B,19.2,25,441.28
2024-08-08,North,C,33.81,3,106.09
2024-09-09,East,B,17.09,19,346.1
2024-10-10,North,C,27.31,5,124.15
2024-11-11,West,B,98.67,15,1588.53
2024-12-12,South,B,50.81,24,1137.17
2024-01-13,North,A,70.32,45,3440.75
2024-02-14,East,C,67.15,35,2457.95
2024-03-15,West,B,44.15,41,1878.27
2024-04-16,West,C,39.19,50,2067.66
2024-05-17,West,A,82.45,26,2044.12
2024-06-18,West,C,88.87,21,1759.01
2024-07-19,South,B,89.62,42,3733.06
2024-08-20,North,A,32.2,36,1168.24
2024-09-21,South,C,45.95,15,757.81
2024-10-22,West,C,54.42,49,2425.05
2024-11-23,East,A,66.47,44,2879.15
2024-12-24,East,B,44.35,30,1338.25
2024-01-25,East,C,74.86,44,3547.33
2024-02-26,North,C,40.62,19,761.71
2024-03-27,South,A,95.84,47,4291.32
2024-04-28,West,C,92.14,41,3625.46
2024-05-01,West,A,43.65,11,483.93
2024-06-02,East,C,39.17,2,72.26
2024-07-03,North,B,31.55,16,542.96
2024-08-04,East,A,75.87,5,415.61
2024-09-05,West,A,69.38,36,2330.4
2024-10-06,South,A,93.6,49,4797.31
2024-11-07,West,C,38.05,43,1685.19
2024-12-08,South,C,50.63,16,765.48
2024-01-09,North,A,62.95,15,960.95
2024-02-10,East,A,73.71,4,278.86
2024-03-11,East,B,16.38,16,250.47
2024-04-12,South,A,58.53,47,2990.52
2024-05-13,South,A,80.62,27,2041.96
2024-06-14,East,C,48.79,28,1341.83
2024-07-15,East,C,68.81,42,2657.9
2024-08-16,South,C,40.54,7,269.51
2024-09-17,West,C,50.38,28,1321.34
2024-10-18,South,A,88.7,5,438.46
2024-11-19,East,A,68.69,35,2565.72
2024-12-20,East,A,24.97,32,796.06
2024-01-21,South,A,24.82,1,27.23
