pclass,sex,age,fare,survived
2,female,51,153.73,1
2,male,46,130.93,1
2,female,,142.35,1
3,female,48,9.62,1
2,female,26,160.51,1
2,female,32,36.28,0
3,female,6,157.34,1
3,female,78,119.29,1
1,female,48,90.43,1
2,male,10,68.29,0
2,male,76,63.28,1
1,female,74,111.58,1
3,female,18,155.56,1
3,female,47,181.5,1
1,male,30,94.86,1
3,female,3,32.35,1
2,female,7,167.18,1
3,female,,90.26,1
3,female,63,60.12,1
1,male,72,157.21,1
3,male,60,123.96,0
1,female,60,93.0,0
1,male,44,93.54,0
2,male,38,6.24,0
1,male,55,34.35,0
2,female,26,155.14,1
2,male,19,45.2,1
1,male,70,72.96,1
2,male,26,64.07,0
2,male,28,155.61,1
2,male,49,9.96,0
3,male,58,90.52,1
2,male,23,103.81,0
3,male,27,28.47,0
3,female,41,85.95,1
1,female,66,26.84,1
1,female,52,192.51,1
2,female,56,189.46,1
1,male,50,175.81,1
2,female,,170.25,1
1,male,18,140.54,1
1,female,54,165.53,1
1,male,24,76.19,0
1,female,52,126.94,1
2,male,43,10.56,0
3,male,6,110.2,0
3,male,2,72.99,0
2,male,61,95.56,0
3,female,78,162.84,1
2,female,33,30.0,1
2,male,74,43.28,0
1,male,11,149.92,0
3,male,33,41.0,0
2,female,67,105.8,0
1,female,19,117.98,1
2,male,24,7.79,0
1,male,2,116.56,1
2,male,74,84.1,0
2,female,16,150.27,1
3,female,24,54.78,0
3,female,44,153.84,1
2,female,70,29.61,1
2,male,38,29.63,0
2,female,11,193.43,1
3,male,29,156.3,1
3,female,20,114.76,1
1,female,68,37.52,1
3,male,80,49.12,0
3,male,79,87.68,0
1,female,67,194.54,1
1,female,,54.01,1
2,male,79,120.83,1
2,male,21,154.1,0
1,female,54,81.24,1
2,male,36,32.39,0
3,male,19,136.09,0
1,male,68,25.01,0
3,female,16,110.55,1
1,male,44,175.67,1
2,male,55,119.07,0
3,female,29,106.95,1
3,female,64,168.16,0
3,male,36,169.25,0
2,female,33,196.7,1
1,female,64,48.17,1
2,male,63,114.33,0
2,female,,26.02,0
1,male,31,75.34,0
2,female,6,72.72,0
3,male,56,135.47,1
3,male,,189.46,1
2,male,33,74.92,0
2,male,7,68.28,0
3,female,21,45.83,0
2,female,23,169.72,0
3,male,40,24.75,0
3,female,64,129.7,0
3,female,57,179.68,0
2,male,75,65.55,0
3,female,69,39.69,1
1,male,77,183.37,0
1,female,51,30.94,1
3,female,11,68.15,1
1,male,36,10.14,1
3,male,29,90.87,0
1,male,3,172.22,1
2,female,73,42.49,1
3,female,50,150.62,0
2,female,31,67.43,1
3,male,32,160.13,0
1,female,14,162.41,1
3,female,71,165.11,1
2,male,57,101.94,0
1,male,72,131.8,0
3,male,46,17.76,0
3,female,4,144.15,1
3,male,28,134.05,0
3,female,73,160.69,1
2,male,76,66.32,1
3,male,46,119.55,0
1,male,21,147.85,1
3,male,4,131.63,0
1,female,52,116.93,1
2,female,18,170.22,1
2,female,56,176.42,1
1,female,30,73.48,1
1,female,13,107.15,1
3,male,8,138.13,1
1,male,,80.03,1
3,female,23,41.75,1
1,male,13,175.06,0
3,male,23,103.93,0
2,male,69,178.21,0
1,female,14,73.07,1
3,male,64,42.67,1
3,female,71,167.2,0
3,male,47,32.57,0
2,male,6,74.87,0
2,male,12,134.38,0
3,female,26,60.1,1
1,female,55,83.83,1
2,male,42,114.44,0
2,female,37,155.31,1
3,male,12,64.89,0
3,male,7,109.19,1
2,female,69,15.22,0
3,male,6,182.58,1
1,male,10,144.24,1
3,male,,79.39,0
1,female,,51.88,0
2,male,52,13.73,1
1,female,55,137.68,0
3,female,2,86.1,1
2,male,63,54.42,1
3,female,,154.59,1
3,male,15,27.48,0
2,male,42,37.64,0
3,female,37,60.52,1
1,male,26,190.29,1
2,male,5,96.45,1
1,male,24,21.3,1
2,female,19,91.19,0
3,male,41,13.53,1
1,female,33,184.76,1
1,male,20,189.63,1
1,male,43,133.31,1
2,male,78,108.07,0
1,female,9,84.94,1
3,male,42,77.22,1
1,male,,5.67,1
2,male,5,114.91,1
3,female,50,60.08,1
2,male,79,53.76,0
3,female,20,93.57,0
2,male,50,199.83,0
2,male,39,33.08,0
3,male,17,168.83,0
2,female,59,148.02,1
2,female,42,134.75,1
3,male,25,115.84,0
3,female,71,173.18,0
2,male,61,26.19,0
2,female,28,70.85,0
3,female,57,9.65,1
3,male,73,155.0,0
3,male,41,96.37,0
1,female,79,108.46,1
1,male,11,9.19,0
2,male,46,44.59,1
1,female,47,126.53,1
2,female,23,61.5,1
3,male,20,36.84,1
3,female,71,127.59,1
2,male,19,182.29,1
1,male,61,78.98,1
1,female,75,116.52,1
1,female,73,72.05,1
1,female,18,126.69,1
1,male,26,192.51,1
3,male,64,8.11,0
2,male,33,42.44,0
3,male,22,15.14,0
2,female,56,70.82,1
3,female,43,112.5,1
3,male,3,64.03,1
2,female,35,140.89,1
3,female,44,30.81,1
2,male,35,21.24,0
3,male,41,172.99,0
1,male,14,52.38,1
1,male,31,156.88,1
1,female,80,18.72,1
2,female,14,124.45,1
1,male,11,41.19,1
2,male,11,80.45,0
1,female,64,123.06,1
2,male,65,6.23,1
1,female,70,117.21,1
1,male,42,152.48,1
2,female,65,129.92,1
2,female,68,6.36,0
2,male,9,101.31,0
1,female,58,7.34,1
3,female,78,137.25,1
2,female,62,77.24,1
2,female,25,49.48,1
3,female,60,68.25,0
2,female,60,93.17,1
2,female,18,158.71,1
3,male,2,89.7,0
1,male,24,47.31,1
2,male,26,9.23,0
2,female,63,123.33,1
2,male,8,73.91,1
2,female,19,50.85,0
2,female,,65.06,1
3,female,55,124.27,1
3,female,48,162.39,0
2,male,,77.15,0
2,male,41,128.6,0
2,female,74,159.79,1
1,female,74,194.37,1
3,male,32,100.27,0
1,female,13,79.91,1
2,male,60,122.51,0
3,female,50,156.6,0
1,female,8,97.38,1
1,female,80,99.1,1
2,female,41,122.93,1
3,male,77,122.99,0
1,male,65,60.08,0
1,female,19,62.74,1
3,female,60,156.28,0
2,male,41,26.01,0
2,male,59,60.53,0
2,male,42,112.75,0
2,female,56,131.03,1
2,male,42,115.3,0
3,male,17,101.85,0
1,male,21,188.32,1
2,female,53,72.0,1
2,male,51,140.44,0
1,male,15,153.74,0
1,male,29,98.35,1
1,male,18,102.61,1
3,female,,154.28,1
3,female,6,44.02,1
1,female,,141.86,1
2,male,20,109.56,0
3,female,48,104.62,1
1,female,42,180.1,1
3,female,58,122.66,1
3,female,15,13.12,0
1,male,39,167.42,0
2,female,30,115.54,0
3,male,28,166.77,0
1,female,50,145.39,1
2,male,62,114.36,0
3,male,14,177.46,0
3,male,36,186.38,0
2,male,48,46.99,1
2,female,54,132.46,1
1,male,34,94.1,0
1,male,4,176.66,1
1,male,59,174.61,1
3,female,73,98.55,1
1,female,4,12.25,1
2,female,2,117.47,1
1,female,62,44.53,1
3,female,25,50.79,1
1,male,56,113.99,0
3,male,12,121.62,0
2,male,48,146.61,0
2,female,75,83.35,1
2,female,64,136.76,1
2,male,18,69.9,0
2,female,22,178.5,1
3,male,70,128.38,0
3,male,27,165.81,0
2,male,70,13.19,1
1,female,22,149.24,1
2,female,48,111.95,1
3,female,45,151.22,1
1,male,59,35.36,0
3,male,65,160.99,0
1,female,52,64.06,1
3,male,25,9.58,1
1,male,10,18.07,1
1,female,52,7.06,1
2,female,39,88.56,1
2,male,5,102.5,0
2,female,50,151.82,0
3,female,63,198.95,1
2,male,70,22.95,0
3,male,44,52.07,0
1,female,58,47.23,1
1,male,4,187.43,1
3,male,73,80.69,0
3,male,16,141.15,0
2,female,6,61.61,1
1,male,10,43.83,1
1,female,23,155.63,1
1,male,75,169.88,1
2,male,18,30.74,0
3,male,47,159.9,0
3,female,14,86.63,1
2,female,12,56.24,0
2,male,18,28.6,1
3,male,58,133.67,0
3,female,24,118.51,1
1,male,39,30.98,1
1,male,35,119.19,1
1,female,62,161.24,1
2,female,13,38.62,1
3,male,17,172.28,1
1,female,10,115.4,1
2,female,34,84.25,1
2,female,,135.97,0
3,male,17,98.48,0
3,female,21,52.06,1
2,male,4,86.38,0
3,male,6,77.06,0
2,female,69,123.03,0
2,female,76,140.57,0
3,male,12,139.83,0
3,male,35,187.16,0
3,male,42,181.91,0
2,female,43,105.95,1
2,female,25,154.82,1
3,female,47,143.96,1
1,female,23,27.86,1
1,male,44,40.7,0
1,female,35,186.83,1
2,male,10,54.24,0
3,female,,41.84,0
2,female,54,43.84,1
2,female,61,90.25,1
1,male,7,13.0,1
1,female,13,185.52,1
1,male,73,16.68,1
3,female,31,49.95,1
3,female,46,168.95,1
3,female,22,162.11,0
3,male,12,116.39,0
2,female,32,169.85,1
2,male,29,59.5,1
3,female,77,170.67,1
1,male,53,143.92,1
3,female,49,9.49,0
3,female,68,71.75,1
3,female,78,45.07,1
1,female,52,45.39,1
2,female,38,180.2,1
2,male,73,52.59,0
2,male,45,75.11,1
2,female,12,90.29,1
2,female,34,98.31,1
3,male,49,76.09,0
1,male,71,14.76,1
2,female,19,172.41,1
1,male,22,106.5,1
1,male,23,61.21,1
2,male,26,122.51,1
1,female,23,109.12,1
2,male,24,52.9,1
1,female,3,102.68,1
1,male,17,52.18,0
2,female,23,143.49,1
3,male,49,31.5,0
3,female,51,112.31,0
2,female,74,145.08,0
3,female,64,29.62,1
1,female,15,122.86,1
2,female,41,100.01,0
3,male,76,159.15,0
3,female,19,8.19,1
2,female,60,144.01,1
1,female,7,52.85,1
3,male,7,73.36,0
3,female,38,74.18,1
2,male,62,18.21,0
2,male,,24.75,0
3,female,66,47.65,1
1,female,79,94.76,1
2,female,67,119.2,0
2,male,71,147.09,0
1,male,49,69.38,0
3,female,26,23.17,1
2,male,,64.07,0
1,female,54,160.9,1
3,female,27,5.11,1
1,female,9,47.72,1
3,female,59,163.28,1
3,female,34,117.52,1
3,female,42,107.71,1
3,female,32,49.11,1
2,female,66,63.61,0
1,female,33,25.77,1
1,male,32,95.55,1
1,female,52,86.76,1
1,male,62,189.96,0
1,female,56,35.04,1
1,female,16,65.06,1
2,female,52,88.87,1
1,male,77,68.79,1
1,male,2,34.26,1
1,male,1,96.89,1
2,female,46,134.88,1
1,female,5,199.28,1
1,male,25,158.96,0
2,male,38,125.01,0
3,female,60,123.2,1
3,male,29,139.36,1
2,male,58,74.96,0
2,female,31,159.88,0
1,male,20,12.18,1
1,male,58,29.59,0
2,female,62,89.89,1
3,female,27,179.64,1
2,male,45,17.88,1
2,female,64,95.38,0
2,female,42,150.33,0
3,male,,157.73,0
2,male,43,33.89,0
1,female,26,145.55,1
1,female,79,77.74,1
2,male,43,137.67,0
3,female,68,198.76,1
3,male,6,93.72,0
3,female,59,13.68,1
2,male,54,186.16,0
3,male,76,48.47,0
3,male,75,54.56,0
3,male,,190.64,0
2,male,10,161.47,0
3,female,,174.37,0
2,male,75,46.62,0
2,male,50,114.35,0
3,male,,88.75,0
1,female,,30.33,1
3,female,54,36.56,1
3,male,37,65.35,0
3,male,20,175.28,0
1,male,35,193.2,1
2,female,69,95.73,1
3,female,46,158.86,1
2,male,33,146.44,0
3,male,21,33.43,1
